소방서 및 안전센터명,위도,경도,시도,시군구,상세주소,상위 본부명
동래소방서-동래_연산-119 안전센터,35.1843589,129.1052426,부산광역시,연제구,고분로 216(연산동),부산소방안전본부
부산진소방서-당감-119 안전센터,35.1717173,129.0285277,부산광역시,부산진구,백양산로53번길 65(당감동),부산소방안전본부
부산진소방서-부암-119 안전센터,35.1669155,129.0507416,부산광역시,부산진구,신천대로 282(부암동),부산소방안전본부
부산진소방서-부산진_가야-119 안전센터,35.1557509,129.0403885,부산광역시,부산진구,가야대로 627(가야동),부산소방안전본부
부산진소방서-수정-119 안전센터,35.1296279,129.049219,부산광역시,동구,중앙대로 383-1(수정동),부산소방안전본부
부산진소방서-부전-119 안전센터,35.1579737,129.0646,부산광역시,부산진구,서전로 43(전포동),부산소방안전본부
부산진소방서-범일-119 안전센터,35.1404454,129.0590339,부산광역시,동구,범일로 115(범일동),부산소방안전본부
공단소방서-옥련-119 안전센터,37.420716,126.6519573,인천광역시,연수구,청량로 155번길 7(옥련동),인천소방본부
공단소방서-공단_고잔-119 안전센터,37.4081309,126.6930221,인천광역시,남동구,남동서로 208(고잔동),인천소방본부
서부소방서_인천-청라-119 안전센터,37.5319198,126.6271065,인천광역시,서구,경서동 628-3,인천소방본부
서부소방서_인천-검암-119 안전센터,37.5640662,126.6735709,인천광역시,서구,검암동 606-9,인천소방본부
서부소방서_인천-검단-119 안전센터,37.6026559,126.6551368,인천광역시,서구,왕길동 635-4,인천소방본부
서부소방서_인천-석남-119 안전센터,37.5006029,126.672973,인천광역시,서구,석남로102(석남동),인천소방본부
서부소방서_인천-서부(인천)_신현-119 안전센터,37.5146839,126.672275,인천광역시,서구,신현동 294,인천소방본부
서부소방서_인천-가좌-119 안전센터,37.4795785,126.6800947,인천광역시,서구,가좌동 540-1,인천소방본부
서부소방서_인천-서부(인천)_연희-119 안전센터,37.54316,126.6773037,인천광역시,서구,서곶로292(심곡동),인천소방본부
부평소방서_인천-부평_삼산-119 안전센터,37.5117671,126.7360679,인천광역시,부평구,충선로 252,인천소방본부
부평소방서_인천-부개-119 안전센터,37.4978952,126.7396775,인천광역시,부평구,부개로 6,인천소방본부
부평소방서_인천-산곡-119 안전센터,37.4956763,126.703125,인천광역시,부평구,마장로 198,인천소방본부
부평소방서_인천-십정-119 안전센터,37.4803235,126.6972752,인천광역시,부평구,경원대로 1111,인천소방본부
부평소방서_인천-부평-119 안전센터,37.4921796,126.7234499,인천광역시,부평구,부평대로 8,인천소방본부
부평소방서_인천-부평_갈산-119 안전센터,37.5202441,126.7221321,인천광역시,부평구,부평대로 324,인천소방본부
남동소방서_인천-간석-119 안전센터,37.4627611,126.7218843,인천광역시,남동구,백범로 248번길,인천소방본부
남동소방서_인천-만수-119 안전센터,37.4487148,126.7313267,인천광역시,남동구,인주대로 845,인천소방본부
남동소방서_인천-구월-119 안전센터,37.449058,126.7159427,인천광역시,남동구,인주대로 714-8,인천소방본부
중부소방서_인천-백령-119 안전센터,37.967471,124.7175276,인천광역시,옹진군,백령면 백령남로 30,인천소방본부
중부소방서_인천-만석-119 안전센터,37.4833866,126.6257931,인천광역시,동구,제물량로 396,인천소방본부
중부소방서_인천-송림-119 안전센터,37.4743122,126.6440944,인천광역시,동구,샛골로 133,인천소방본부
중부소방서_인천-중부(인천)_송현-119 안전센터,37.4863128,126.6509907,인천광역시,동구,방축로 39,인천소방본부
중부소방서_인천-중부(인천)_중앙-119 안전센터,37.4701263,126.6222875,인천광역시,중구,인중로 204,인천소방본부
강서소방서_대구-매곡-119 안전센터,35.8611492,128.4541256,대구광역시,달성군,다사읍 달구벌대로 753,대구소방안전본부
강서소방서_대구-대천-119 안전센터,35.8249447,128.5067496,대구광역시,달서구,달서대로58길 129,대구소방안전본부
강서소방서_대구-죽전-119 안전센터,35.8525899,128.537634,대구광역시,달서구,와룡로 222,대구소방안전본부
강서소방서_대구-성서-119 안전센터,35.8495073,128.506873,대구광역시,달서구,성서로 357,대구소방안전본부
강서소방서_대구-다사-119 안전센터,35.8554417,128.4674366,대구광역시,달성군,다사읍 달구벌대로 920,대구소방안전본부
달성소방서-구지-119 안전센터,35.6400521,128.4189803,대구광역시,달성군,구지면 달성2차로 111,대구소방안전본부
달성소방서-화원-119 안전센터,35.79876,128.5018001,대구광역시,달성군,화원읍 화암로 122,대구소방안전본부
달성소방서-논공-119 안전센터,35.7300884,128.4530232,대구광역시,달성군,논공읍 논공중앙로33길 5,대구소방안전본부
달성소방서-현풍-119 안전센터,35.6826279,128.4469746,대구광역시,달성군,현풍면 비슬로 480,대구소방안전본부
달서소방서-도원-119 안전센터,35.8090018,128.5356389,대구광역시,달서구,도원로 8,대구소방안전본부
달서소방서-본리-119 안전센터,35.8396937,128.5450815,대구광역시,달서구,대명천로 134,대구소방안전본부
달서소방서-송현-119 안전센터,35.8200211,128.542026,대구광역시,달서구,월배로 262,대구소방안전본부
달서소방서-월성-119 안전센터,35.831088,128.5347565,대구광역시,달서구,학산로 75,대구소방안전본부
수성소방서-무열로-119 안전센터,35.87079,128.64815,대구광역시,수성구,무열로 139,대구소방안전본부
수성소방서-고산-119 안전센터,35.8403196,128.7045373,대구광역시,수성구,고산로 105,대구소방안전본부
군포소방서-송정-119 안전센터,37.3683,127.9271,경기도,군포시,산본동1156,경기재난본부
